Lp.,Nazwa własna,Telefon,Email,Charakter usług,Kategoria obiektu,Rodzaj obiektu,Adres
1,DWORZEC BESKIDZKI,033/ 864-63-05,,stały,,,"34-373 Milówka, -"
2,SZYNDZIELNIA,033/ 814-40-47,,stały,,,"43-309 Bielsko-Biała, -"
3,HALA LIPOWSKA,033/ 861-31-41,,stały,,,"34-371 Złatna, -"
4,RYSIANKA,033/ 861-23-49,,stały,,,"34-371 Ujsoły, -"
5,NA MAGURCE,033/ 817-04-21,info@ magurka-beskidy.pl,stały,,,"43-386 Grodziec, -"
6,NA PRZEWGIBKU,033/ 864-41-39,,stały,,,"34-385 , -"
7,RÓWNICA,033/ 854-24-48,PTTK@PTTK.Katowice.pl,stały,,,"40-016 Katowice, Damrota 8"
8,SCHR. PTTK STARE WIERCHY,(0 18) 267-52-9,,stały,,,"34-404 Klikuszowa, Klikuszowa"
9,STOŻEK,033/ 855-27-10,,stały,,,"43-460 Wisła, Turystyczna 19"
10,SOSZÓW,33-855-30-46,soszów@wisla.pl,stały,,,"43-460 Wisła, Soszowskiej 10"
11,Schronisko,566780927,,sezonowy,,,"87-134 Zławieś Wielka, Szkolna 6"
12,GRYF,(+48-48) 365-12,,stały,,hotel,"26-600 , Puławska 8"
13,Naramowice,(61) 822 75 43,hotel@naramowice.pl,stały,,hotel,"60-619 Poznań, Naramowicka 150"
14,RADISSON BLU,(12) 618-88-88,Sales.Krakow@radissonsas.com,stały,*****,hotel,"31-101 Kraków, ul. Straszewskiego 17"
15,"""PODEWILS""",0 - 58 300 -,gdansk@podewils-hotel.pl,stały,*****,hotel,"80-755 Gdańsk, Szafarnia 2-3"
16,RYSY,(0 18)201-18-00,hotelrysy@hotelrysy.pl,stały,*****,hotel,"34-500 Zakopane, ul. Goszczyńskiego 7"
17,"""SOFITEL GRAND SOPOT""",0 - 58 520 -,sof.grand.sopot@orbis.pl,stały,*****,hotel,"81-718 Sopot, Powstańców Warszawy 12/14"
18,BELWEDER,33 854-85-00,hotel@ hotelbelweder.pl,stały,*****,hotel,"43-450 Ustroń, Zdrojowa 15"
19,HOTEL SPA DR IRENA ERIS WZGÓRZA DYLEWSKIE,89-647-11-11,wzgorza@drirenaerisspa.com,stały,*****,hotel,"14-100 Wysoka Wieś, 22"
20,REZYDENCJA NOSALOWY DWÓR,18 202-24-10,rezerwacja@nosalowy-dwor.eu,stały,*****,hotel,"34-500 Zakopane, ul. Balzera 21E"
21,MODRZEWIE PARK HOTEL,(18) 540-04-04,info@mparkhotel.pl,stały,*****,hotel,"34-460 Szczawnica, ul. Park Górny 2"
22,HOTEL SPA DR IRENA ERIS POLANICA ZDRÓJ,746624000,polanica@drirenaerisspa.com,stały,*****,hotel,"57-320 Polanica-Zdrój, DĘBOWA 19B"
23,GRAPE,717360400,biuro@grape.hotel.pl,stały,*****,hotel,"51-616 Wrocław, PARKOWA 8"
24,MARINE,94/ 35 34 300,,stały,*****,hotel,"78-100 Kołobrzeg, Sułkowskiego 9"
25,Sofitel Wrocław,(71) 35 88 300,,stały,*****,hotel,"50-127 Wrocław, Św. Mikołaja 67"
26,GRÓDEK,(0 12)431-90-30,grodek@donimirski.com,stały,*****,hotel,"31-028 Kraków, ul. Na Gródku 4"
27,Sheraton Poznan Hotel,,poznań@sheraton.com,stały,*****,hotel,"60-813 Poznań, Bukowska 3/9"
28,RADISSON BLU CENTRUM HOTEL,(+48-22) 321-88,,stały,*****,hotel,"00-132 Warszawa, Grzybowska 24"
29,HERON,(18) 888-85-00,contact@heron-hotel.com,stały,*****,hotel,"33-318 Gródek nad Dunajcem, sienna 104"
30,ALTER,815169090,recepcja@hotelalter.pl,stały,*****,hotel,"20-112 Lublin, grodzka 30"
31,"""HILTON""",0-58 77-87-10,GDNHG_RES@hilton.pl,stały,*****,hotel,"80-838 Gdańsk, Targ Rybny 1"
32,"""DWÓR OLIWSKI""",0 - 58 554 -,info@dwor-oliwski.com.pl,stały,*****,hotel,"80-328 Gdańsk, Bytowska 4"
