Numer_zgloszenia;Numer_prawa_wylacznego;Data_pierwszenstwa;Data_zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Tytul;Uprawnieni;Tworcy;Pelnomocnicy;Klasyfikacja_MKP;Status_sprawy;
277022;;;1989-01-02;14/1990;1990-07-09;;;Sposób uszczelniania i wzmacniania gruntów;WARSZAWSKIE CENTRUM POSTĘPU TECHNICZNO-ORGANIZACYJNEGO BUDOWNICTWA;BOGDAŃSKI JANUSZ DOBRZYŃSKA MARZENA SUŁEK KRYSTYNA SZYŁAŃSKA GRAŻYNA;;E02D;Decyzja o umorzeniu postępowania;
277023;;;1989-01-02;14/1990;1990-07-09;;;Ściana osłonowa;WARSZAWSKIE CENTRUM POSTĘPU TECHNICZNO-ORGANIZACYJNEGO BUDOWNICTWA;BUSŁOWICZ LESZEK;;E04B;Decyzja o umorzeniu postępowania;
277024;;;1989-01-02;14/1990;1990-07-09;;;Ściana osłonowa;WARSZAWSKIE CENTRUM POSTĘPU TECHNICZNO-ORGANIZACYJNEGO BUDOWNICTWA;BUSŁOWICZ LESZEK;;E04B;Decyzja o umorzeniu postępowania;
277025;;;1989-01-02;14/1990;1990-07-09;;;Sposób oczyszczania odcieku z urządzeń do mechanicznego odwadniania osadów;BIURO PROJEKTÓW BUDOWNICTWA KOMUNALNEGO "STOLICA";TOKARCZYK JACEK;;C02F;Decyzja o umorzeniu postępowania;
277026;;;1989-01-02;14/1990;1990-07-09;;;Naparstek elektryczny;SOKOŁOWSKI MIROSŁAW;SOKOŁOWSKI MIROSŁAW;;H01R;Decyzja o umorzeniu postępowania;
277027;159054;;1989-01-02;14/1990;1990-07-09;11/1992;1992-11-30;Sposób i układ wykrywania uszkodzeń tyrystorów w połączeniu szeregowym;INSTYTUT ELEKTROTECHNIKI;GIZIŃSKI ZYGMUNT KRÓLIKOWSKI WINCENTY GOŁĘBIOWSKI PIOTR;;G01R31/26;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277028;159055;;1989-01-02;14/1990;1990-07-09;11/1992;1992-11-30;Sposób i układ diagnozowania pracy tyrystorów, zwłaszcza w połączeniu szeregowym;INSTYTUT ELEKTROTECHNIKI;GOŁĘBIOWSKI PIOTR GIZIŃSKI ZYGMUNT KRÓLIKOWSKI WINCENTY;;G01R31/26;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277029;;;1989-01-02;14/1990;1990-07-09;;;Tensometryczny przetwornik siły;CENTRUM TECHNIKI URZĄDZEŃ TRANSPORTU BLISKIEGO "CRANEX" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KOŚCIELNY RYSZARD LECZKOWSKI EUGENIUSZ STREPEJKOWICZ-WERSOCKI JERZY ZDYBEL ZENON;;G01L;Decyzja o umorzeniu postępowania;
277030;;;1989-01-02;14/1990;1990-07-09;;;Sposób i tensometryczny przetwornik do pomiaru sił rozciągających;CENTRUM TECHNIKI URZĄDZEŃ TRANSPORTU BLISKIEGO "CRANEX"SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KOŚCIELNY RYSZARD LECZKOWSKI EUGENIUSZ STERPEJKOWICZ JERZY ZDYBEL ZENON;;G01L;Decyzja o umorzeniu postępowania;
277031;;1986-05-16;1987-05-15;06/1990;1990-03-19;;;Sposób wytwarzania nowej pochodnej kwasu nikotynowego;RHONE-POULENC AGROCHIMIE;;;C07D;Decyzja o umorzeniu postępowania;
277032;;;1988-12-30;20/1989;1989-10-02;;;Układ grzejny poduszki elektrycznej;RADIOTECHNICZNA SPÓŁDZIELNIA PRACY Centralny Związek Spółdzielczości Pracy;CYGAN MARIAN ZEMBATY MAREK;Radiotechniczna Spółdzielnia Pracy;;Decyzja o umorzeniu postępowania;
277033;158820;;1989-01-02;14/1990;1990-07-09;10/1992;1992-10-30;Bezcięgnowy mechanizm posuwu górniczego kombajnu ścianowego;CENTRUM MECHANIZACJI GÓRNICTWA "KOMAG";STUDENT ZYGMUNT TARNAWSKI ZBIGNIEW PALIK JÓZEF SKOLIK WOJCIECH PENAR ZDZISŁAW MAZURKIEWICZ TADEUSZ MICHALIK TADEUSZ NABRDALIK MIROSŁAW;Sudczak Jadwiga;F16H9/24 E21C29/22 B61B13/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277034;159305;;1989-01-02;14/1990;1990-07-09;12/1992;1992-12-31;Zawór rozładowania ciśnienia;CENTRUM MECHANIZACJI GÓRNICTWA "KOMAG";SCHLAEDER HENRYK STAŃCZYK TADEUSZ;Olbrzymek Elżbieta;F15B13/02;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
277035;157751;;1989-01-02;14/1990;1990-07-09;06/1992;1992-06-30;Zastawka górniczego przenośnika zgrzebłowego;CENTRUM MECHANIZACJI GÓRNICTWA "KOMAG";PILARSKI KLEMENS KLIMKOWSKI STANISŁAW KUŹMIK JOANNA;Olbrzymek Elżbieta;B65G19/28 E21F13/08 E21C35/12;Decyzja o wygaśnięciu prawa wyłącznego (brak opłaty za ochronę);
